09:57:28  [main] 	Initializing Control Panel
09:57:28  [main] 	Windows Version:  Home  64-bit
09:57:28  [main] 	XAMPP Version: ???
09:57:28  [main] 	Control Panel Version: 3.3.0  [ Compiled: Apr 6th 2021 ]
09:57:28  [main] 	You are not running with administrator rights! This will work for
09:57:28  [main] 	most application stuff but whenever you do something with services
09:57:28  [main] 	there will be a security dialogue or things will break! So think 
09:57:28  [main] 	about running this application with administrator rights!
09:57:28  [main] 	XAMPP Installation Directory: "c:\xampp\htdocs\phppra\"
09:57:28  [main] 	Checking for prerequisites
09:57:28  [main] 	All prerequisites found
09:57:28  [main] 	Initializing Modules
09:57:28  [Apache] 	Problem detected: Apache Not Found!
09:57:28  [Apache] 	Disabling Apache buttons
09:57:28  [Apache] 	Run this program from your XAMPP root directory!
09:57:28  [Apache] 	Problem detected!
09:57:28  [Apache] 	Port 80 in use by "C:\Xampp\apache\bin\httpd.exe" with PID 16496!
09:57:28  [Apache] 	Apache WILL NOT start without the configured ports free!
09:57:28  [Apache] 	You need to uninstall/disable/reconfigure the blocking application
09:57:28  [Apache] 	or reconfigure Apache and the Control Panel to listen on a different port
09:57:28  [Apache] 	Problem detected!
09:57:28  [Apache] 	Port 443 in use by "C:\Xampp\apache\bin\httpd.exe" with PID 16496!
09:57:28  [Apache] 	Apache WILL NOT start without the configured ports free!
09:57:28  [Apache] 	You need to uninstall/disable/reconfigure the blocking application
09:57:28  [Apache] 	or reconfigure Apache and the Control Panel to listen on a different port
09:57:28  [mysql] 	Problem detected: MySQL Not Found!
09:57:28  [mysql] 	Disabling MySQL buttons
09:57:28  [mysql] 	Run this program from your XAMPP root directory!
09:57:28  [filezilla] 	Problem detected: FileZilla Not Found!
09:57:28  [filezilla] 	Disabling FileZilla buttons
09:57:28  [filezilla] 	Run this program from your XAMPP root directory!
09:57:28  [mercury] 	Problem detected: Mercury Not Found!
09:57:28  [mercury] 	Disabling Mercury buttons
09:57:28  [mercury] 	Run this program from your XAMPP root directory!
09:57:28  [Tomcat] 	Problem detected: Tomcat Not Found!
09:57:28  [Tomcat] 	Disabling Tomcat buttons
09:57:28  [Tomcat] 	Run this program from your XAMPP root directory!
09:57:28  [Tomcat] 	Problem detected: Required Tool catalina_start.bat Not Found!
09:57:28  [Tomcat] 	Problem detected: Required Tool catalina_stop.bat Not Found!
09:57:28  [Tomcat] 	Problem detected: Required Tool catalina_service.bat Not Found!
09:57:28  [main] 	Starting Check-Timer
09:57:28  [main] 	Control Panel Ready
10:00:49  [main] 	Deinitializing Modules
10:00:49  [main] 	Deinitializing Control Panel

